name,link
W003335502,https://www.wayfair.com/furniture/pdp/mercury-row-brundage-26-wide-lounge-chair-w003335502.html
W002929032,https://www.wayfair.com/furniture/pdp/canora-grey-michalak-30-wide-tufted-linen-armchair-and-ottoman-w002929032.html
W004999701,https://www.wayfair.com/furniture/pdp/lark-manor-betances-29-wide-polyester-armchair-w004999701.html
W005485482,https://www.wayfair.com/furniture/pdp/latitude-run-harland-2375-wide-polyester-slipper-chair-w005485482.html
W005174123,https://www.wayfair.com/furniture/pdp/wade-logan-manz-25-wide-tufted-polyester-barrel-chair-and-ottoman-w005174123.html
W005483584,https://www.wayfair.com/furniture/pdp/alcott-hill-stansbury-73025cm-wide-polyester-barrel-chair-w005483584.html
W000677094,https://www.wayfair.com/furniture/pdp/george-oliver-lynsey-24-wide-polyester-lounge-chair-w000677094.html
W005933545,https://www.wayfair.com/furniture/pdp/wade-logan-newnan-265-wide-polyester-lounge-chair-w005933545.html
W002505349,https://www.wayfair.com/furniture/pdp/three-posts-wilbraham-295-w-genuine-leather-butterfly-chair-w002505349.html
W005413350,https://www.wayfair.com/furniture/pdp/17-stories-2925-w-tufted-armchair-w005413350.html?categoryid=416225&placement=3&slot=0&sponsoredid=0c166ab02a6f85c10042a659891e67688caaf759566b09a2ae33a2b5255f4351&_txid=I%2FcmXGEsWBQUpQctyKeaAg%3D%3D&isB2b=0&auctionId=f337e138-c5b9-40b1-b1b5-79e4f095c3c7
W006116243,https://www.wayfair.com/furniture/pdp/andover-mills-popel-295-wide-tufted-linen-armchair-w006116243.html
QLKB1007,https://www.wayfair.com/furniture/pdp/latitude-run-wittenberg-762cm-wide-tufted-velvet-armchair-qlkb1007.html
W002167006,https://www.wayfair.com/furniture/pdp/latitude-run-stanton-drew-4764-wide-velvet-convertible-chair-w002167006.html
MROW8008,https://www.wayfair.com/furniture/pdp/mercury-row-garren-398-w-tufted-polyester-club-chair-mrow8008.html
W002577963,https://www.wayfair.com/furniture/pdp/inspire-me-home-decor-311-w-velvet-wingback-chair-w002577963.html
LVEX1182,https://www.wayfair.com/furniture/pdp/willa-arlo-interiors-credle-295-wide-tufted-velvet-wingback-chair-lvex1182.html?categoryid=416225&placement=3&slot=1&sponsoredid=9dc6d932ba2568c0cb32e509fab375c5a1f7ccf4f30859c58d1bbd89d381462c&_txid=I%2FcmXGEsWBQUpQctyKeaAg%3D%3D&isB2b=0&auctionId=f337e138-c5b9-40b1-b1b5-79e4f095c3c7
W004174574,https://www.wayfair.com/furniture/pdp/wade-logan-neuman-285-wide-polyester-armchair-w004174574.html
W005482940,https://www.wayfair.com/furniture/pdp/zipcode-design-donham-28-w-armchair-w005482940.html
W005404730,https://www.wayfair.com/furniture/pdp/zipcode-design-donham-polyester-lounge-chair-w005404730.html
W005061182,https://www.wayfair.com/furniture/pdp/wade-logan-massenburg-polyester-barrel-chair-w005061182.html
W005484672,https://www.wayfair.com/furniture/pdp/hashtag-home-clopton-26-wide-tufted-polyester-armchair-w005484672.html
W005978920,https://www.wayfair.com/furniture/pdp/latitude-run-35-w-polyester-armchair-w005978920.html?categoryid=416225&placement=3&slot=2&sponsoredid=1189134376801be687084cc2158698c1cbe6e6a2c22a271dac72a6622b08b02b&_txid=I%2FcmXGEsWBQUpQctyKeaAg%3D%3D&isB2b=0&auctionId=f337e138-c5b9-40b1-b1b5-79e4f095c3c7
W005159988,https://www.wayfair.com/furniture/pdp/wade-logan-pender-2008-wide-side-chair-w005159988.html
W004875843,https://www.wayfair.com/furniture/pdp/gold-flamingo-grenier-251-wide-tufted-velvet-side-chair-w004875843.html
W003517332,https://www.wayfair.com/furniture/pdp/mistana-teen-lilly-264-wide-tufted-velvet-armchair-w003517332.html
W005887939,https://www.wayfair.com/furniture/pdp/lark-manor-7874cm-wide-polyester-armchair-w005887939.html
W005061416,https://www.wayfair.com/furniture/pdp/wade-logan-kring-2441-wide-armchair-w005061416.html
W003098292,https://www.wayfair.com/furniture/pdp/sand-stable-shasta-22-wide-armchair-w003098292.html?categoryid=416225&placement=3&slot=3&sponsoredid=f24fb0cf7100d01d0d087e87f61869b10623f9acaf0c062e73ce1b4a6fc43876&_txid=I%2FcmXGEsWBQUpQctyKeaAg%3D%3D&isB2b=0&auctionId=f337e138-c5b9-40b1-b1b5-79e4f095c3c7
LGLY5903,https://www.wayfair.com/furniture/pdp/wade-logan-hiltonia-30-wide-tufted-polyester-barrel-chair-lgly5903.html
W003414639,https://www.wayfair.com/furniture/pdp/gold-flamingo-cleo-26-wide-velvet-armchair-w003414639.html
MCRW7502,https://www.wayfair.com/furniture/pdp/mercury-row-trent-252-wide-polyester-side-chair-mcrw7502.html
W004961283,https://www.wayfair.com/furniture/pdp/three-posts-aguilar-275-wide-polyester-armchair-w004961283.html
W004824218,https://www.wayfair.com/furniture/pdp/gold-flamingo-groombridge-28-wide-tufted-velvet-wingback-chair-w004824218.html
W005069636,https://www.wayfair.com/furniture/pdp/wade-logan-mauriello-26-w-armchair-w005069636.html?categoryid=416225&placement=3&slot=4&sponsoredid=5d679df5749b6088b06372a43d006362b68c30922f91ae14e970ed51e4dee5f9&_txid=I%2FcmXGEsWBQUpQctyKeaAg%3D%3D&isB2b=0&auctionId=f337e138-c5b9-40b1-b1b5-79e4f095c3c7
W004592642,https://www.wayfair.com/furniture/pdp/gold-flamingo-groombridge-28-wide-tufted-velvet-wingback-chair-w004592642.html
W003218746,https://www.wayfair.com/furniture/pdp/canora-grey-kempton-235-wide-tufted-linen-side-chair-w003218746.html
W005759417,https://www.wayfair.com/furniture/pdp/zipcode-design-liam-305-wide-polyester-barrel-chair-w005759417.html
LGLY5899,https://www.wayfair.com/furniture/pdp/wade-logan-hiltonia-31-wide-tufted-polyester-barrel-chair-and-ottoman-lgly5899.html
W004143468,https://www.wayfair.com/furniture/pdp/andover-mills-pitts-34-w-polyester-armchair-w004143468.html
W002132156,https://www.wayfair.com/furniture/pdp/lark-manor-gerling-291-w-polyester-armchair-w002132156.html?categoryid=416225&placement=3&slot=5&sponsoredid=c793559ea78ffbc37ebb93b6c91eaf30e55b7c2a160dbe4bbd25ea449d7c3e02&_txid=I%2FcmXGEsWBQUpQctyKeaAg%3D%3D&isB2b=0&auctionId=f337e138-c5b9-40b1-b1b5-79e4f095c3c7
W000364683,https://www.wayfair.com/furniture/pdp/alcott-hill-scranton-28-wide-tufted-linen-armchair-w000364683.html
W005270593,https://www.wayfair.com/furniture/pdp/ponce-28-wide-armchair-w005270593.html
W006110246,https://www.wayfair.com/furniture/pdp/hashtag-home-araceli-30-wide-tufted-armchair-w006110246.html
W004361261,https://www.wayfair.com/furniture/pdp/charlton-home-kjellfrid-32-wide-tufted-linen-barrel-chair-w004361261.html
W005934141,https://www.wayfair.com/furniture/pdp/union-rustic-shawnda-23-wide-wingback-chair-w005934141.html
